,label,runID,ner_f1_macro,rel_f1_macro,rel_nec_f1_macro,ner_f1_micro,rel_f1_micro,rel_nec_f1_micro,train_batch_size,epochs,neg_entity_count,neg_relation_count,lr,weight_decay,eval_batch_size,rel_filter_threshold,prop_drop
635,ade_rob_train,2022-03-27_19.09.30.144631,90.13279776198009,81.07714701601165,80.9315866084425,89.72477064220183,81.07714701601165,80.9315866084425,4,20,100,100,3e-05,0.01,1,0.4,0.2
636,ade_rob_train,2022-03-27_22.47.55.820777,91.28922348716692,82.53275109170305,82.53275109170305,90.94252873563218,82.53275109170305,82.53275109170305,4,20,100,100,5e-05,0.01,1,0.4,0.2
637,ade_rob_train,2022-03-27_13.08.51.966444,89.59026554446403,79.25340990667623,79.25340990667623,89.19288645690834,79.25340990667623,79.25340990667623,4,20,100,100,1e-05,0.02,1,0.4,0.1
638,ade_rob_train,2022-03-27_14.30.13.860818,90.74984972310683,82.1376281112738,82.1376281112738,90.42357274401472,82.1376281112738,82.1376281112738,4,20,100,100,1e-05,0.02,1,0.4,0.2
639,ade_rob_train,2022-03-27_13.36.34.228031,90.49206904495772,81.16788321167884,81.16788321167884,90.18885306310456,81.16788321167884,81.16788321167884,4,20,100,100,1e-05,0.02,1,0.4,0.1
640,ade_rob_train,2022-03-27_18.45.12.511391,90.91016573125526,82.18562874251498,82.18562874251498,90.6046511627907,82.18562874251498,82.18562874251498,4,20,100,100,3e-05,0.01,1,0.4,0.1
641,ade_rob_train,2022-03-27_19.33.46.881065,90.27820083257184,81.48148148148148,81.3362381989833,89.8670334708849,81.48148148148148,81.3362381989833,4,20,100,100,3e-05,0.01,1,0.4,0.2
642,ade_rob_train,2022-03-27_21.59.16.380077,90.3045903045903,81.49812734082397,81.49812734082397,89.98602701443875,81.49812734082397,81.49812734082397,4,20,100,100,5e-05,0.01,1,0.4,0.1
643,ade_rob_train,2022-03-27_21.35.03.351705,89.90842349635493,80.2919708029197,80.2919708029197,89.52468850946008,80.2919708029197,80.2919708029197,4,20,100,100,5e-05,0.01,1,0.4,0.1
644,ade_rob_train,2022-03-27_17.28.59.435843,89.81047580422535,80.52708638360176,80.52708638360176,89.369535204786,80.52708638360176,80.52708638360176,4,20,100,100,3e-05,0.02,1,0.4,0.2
645,ade_rob_train,2022-03-27_14.55.04.366057,89.28187569094706,78.83211678832117,78.83211678832117,88.89912482726855,78.83211678832117,78.83211678832117,4,20,100,100,1e-05,0.01,1,0.4,0.1
646,ade_rob_train,2022-03-27_15.20.37.948485,91.1402159134982,81.93123628383321,81.93123628383321,90.79189686924492,81.93123628383321,81.93123628383321,4,20,100,100,1e-05,0.01,1,0.4,0.1
647,ade_rob_train,2022-03-27_18.19.48.627070,90.2677848437492,80.64753495217072,80.64753495217072,89.875173370319,80.64753495217072,80.64753495217072,4,20,100,100,3e-05,0.01,1,0.4,0.1
648,ade_rob_train,2022-03-27_19.58.14.224427,90.13533494886434,81.42753095411507,81.28186453022577,89.76014760147602,81.42753095411507,81.28186453022577,4,20,100,100,5e-05,0.02,1,0.4,0.1
649,ade_rob_train,2022-03-27_20.22.25.066549,90.84668408567404,82.11143695014663,81.96480938416423,90.52242256125751,82.11143695014663,81.96480938416423,4,20,100,100,5e-05,0.02,1,0.4,0.1
650,ade_rob_train,2022-03-27_17.54.03.131682,90.05417665826347,80.79178885630498,80.64516129032258,89.6774193548387,80.79178885630498,80.64516129032258,4,20,100,100,3e-05,0.02,1,0.4,0.2
651,ade_rob_train,2022-03-27_15.46.16.096036,90.45372166600492,81.15942028985508,81.15942028985508,90.04566210045662,81.15942028985508,81.15942028985508,4,20,100,100,1e-05,0.01,1,0.4,0.2
652,ade_rob_train,2022-03-27_16.11.53.873590,90.8837824535499,81.41072740631888,81.41072740631888,90.54863992623328,81.41072740631888,81.41072740631888,4,20,100,100,1e-05,0.01,1,0.4,0.2
653,ade_rob_train,2022-03-27_20.46.40.495465,89.46918962650007,79.82770997846374,79.82770997846374,89.07254361799816,79.82770997846374,79.82770997846374,4,20,100,100,5e-05,0.02,1,0.4,0.2
654,ade_rob_train,2022-03-27_22.23.42.414548,86.99937479007247,75.60975609756096,75.60975609756096,86.24602814344077,75.60975609756096,75.60975609756096,4,20,100,100,5e-05,0.01,1,0.4,0.2
655,ade_rob_train,2022-03-27_16.37.33.630301,90.14985014985017,81.12927191679049,81.12927191679049,89.79591836734694,81.12927191679049,81.12927191679049,4,20,100,100,3e-05,0.02,1,0.4,0.1
656,ade_rob_train,2022-03-27_17.03.21.097864,90.73095907314732,81.35593220338983,81.35593220338983,90.39704524469067,81.35593220338983,81.35593220338983,4,20,100,100,3e-05,0.02,1,0.4,0.1
657,ade_rob_train,2022-03-27_21.10.54.864168,90.30541733395977,81.00147275405008,81.00147275405008,89.9769053117783,81.00147275405008,81.00147275405008,4,20,100,100,5e-05,0.02,1,0.4,0.2
658,ade_rob_train,2022-03-27_14.04.06.615224,89.40899529199639,79.42446043165468,79.42446043165468,88.93946290395995,79.42446043165468,79.42446043165468,4,20,100,100,1e-05,0.02,1,0.4,0.2
